Unnamed: 0,FBPost,Label,clean_comment,sentiment_score,sentiment_label
0,Drug Runners and  a U.S. Senator have something to do with the Murder http://www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1 The State Attorney Knows... NOW So Will You. GET Ypur Copy TODAY,O,drug runner u senat someth murder http www amazon com circumstanti evid get florida bozarth ebook dp b fpz ref pd rhf p state attorney know get ypur copi today,1,Positive
1,"Heres a single, to add, to Kindle. Just read this 19th century story: ""The Ghost of Round Island"". Its about a man (French/American Indian) and his dog sled transporting a woman across the ice, from Mackinac Island to Cheboygan - and the ghost that...",O,here singl add kindl read th centuri stori ghost round island man french american indian dog sled transport woman across ice mackinac island cheboygan ghost,1,Positive
2,If you tire of Non-Fiction.. Check out http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=danielle+lee+zwissler+&x=0&y=0,O,tire non fiction check http www amazon com ref nb sb noss url search alia dap field keyword daniel lee zwissler x,1,Positive
3,Ghost of Round Island is supposedly nonfiction.,O,ghost round island supposedli nonfict,1,Positive
4,Why is Barnes and Nobles version of the Kindle so much more expensive than the Kindle?,N,barn nobl version kindl much expens kindl,0,Negative
5,"@Maria:  Do you mean the Nook?  Be careful, books you buy for the Kindle are for that piece of electronics, and vice versa.  I love my Kindle, there are people that swear by the Nook.  They like the color screen.Me?  I want an ereader that is a reader-- so I dont need color.  The kindle battery lasts longer, and the unit isnt as heavy, which can make a difference after reading for a few hours. :)",P,maria mean nook care book buy kindl piec electron vice versa love kindl peopl swear nook like color screen want eread reader dont need color kindl batteri last longer unit isnt heavi make differ read hour,0,Negative
6,kindle is awesome! mines great,P,kindl awesom mine great,1,Positive
7,I love mine!!!!,P,love mine,1,Positive
8,Meh. I think Singles are a bad idea. Big name authors already dominate the market by a huge factor. Now you are letting them compete on price point with indie authors (albeit giving less content for the money).,N,meh think singl bad idea big name author alreadi domin market huge factor let compet price point indi author albeit give less content money,0,Negative
9,My daugjhter loves hers!,P,daugjhter love,1,Positive
10,I am not sure if i just got my update but now i dont have location numbers unless i press the menu button.  But i also dont have page numbers! Am i doing something wrong?,N,sure got updat dont locat number unless press menu button also dont page number someth wrong,0,Negative
11,"Got a Kindle for Xmas and I love it.   Never was much of a book reader, but this has been fun.  I am on my 5th book since Christmas!",P,got kindl xma love never much book reader fun th book sinc christma,1,Positive
12,"I dont have the patience for kindle singles. If Im gonna read, I need at least 200 pages.",P,dont patienc kindl singl im gonna read need least page,0,Negative
13,Love the new singles ~ am reading Jodi Picoults right now while waiting till Tuesday for her new book to come out!,P,love new singl read jodi picoult right wait till tuesday new book come,1,Positive
14,"Not a fan of Kindle Singles.  They clog up the Kindle Book page and its tough to sort through full-legnth new releases because there are so, so many Singles there.",N,fan kindl singl clog kindl book page tough sort full legnth new releas mani singl,0,Negative
15,Best thing since sliced bread.,P,best thing sinc slice bread,1,Positive
16,we love our kindles......,P,love kindl,1,Positive
17,can anybody tell me if the FREE chapters of TICK TOC by Patterson are a summary of each chapter or the real deal....my kindle jumps 5-10 % of read with each page I read and I have real big text...thank you!,P,anybodi tell free chapter tick toc patterson summari chapter real deal kindl jump read page read real big text thank,1,Positive
18,"Love  my kindle, too!  Also enoyed the New York Times article...thought provoking as well kindle loving.",P,love kindl also enoy new york time articl thought provok well kindl love,1,Positive
19,Yeah once u get a kindle its hard to put it down sumtimes because there r so many books to choose from I luv mine as well,P,yeah u get kindl hard put sumtim r mani book choos luv mine well,1,Positive
20,What is a single?,O,singl,0,Negative
21,anyone know how to legthen the time before the kindle go into screen saver mood????????,P,anyon know legthen time kindl go screen saver mood,1,Positive
22,"LOVE my Kindle..not sure if I got the update or not, though because I dont see any difference when I read. Color? I dont need color to read so Kindle is perfect. And Singles, Ive read a few, not  really a fan or not oen way or another..I just like to read so I read whatever looks interesting at the time. Did I say....LOVE my Kindle? I sure do!!",P,love kindl sure got updat though dont see differ read color dont need color read kindl perfect singl ive read realli fan oen way anoth like read read whatev look interest time say love kindl sure,1,Positive
23,Its just too bad you arent offering these for the Original Kindle.  Seems like those of us who got on your bandwagon first are just left in the dust.,N,bad arent offer origin kindl seem like us got bandwagon first left dust,0,Negative
24,love this kindle....,P,love kindl,1,Positive
25,AND Then There IS www.amazon.com/Circumstantial-Evidence-Getting-Florida-Bozarth-ebook/dp/B004FPZ452/ref=pd_rhf_p_t_1  CAN You Solve this Mystery.  Get your Copy TODAY on Amazon for Kindle,O,www amazon com circumstanti evid get florida bozarth ebook dp b fpz ref pd rhf p solv mysteri get copi today amazon kindl,1,Positive
26,"you arent missing a thing, I tried this game and it sucks!",O,arent miss thing tri game suck,0,Negative
27,I have a couple games on my kindle...only problem is my family seems to think I put them on there for them...,N,coupl game kindl problem famili seem think put,0,Negative
28,why dont you make it free? Its not all about money you know...,O,dont make free money know,0,Negative
29,So let me get this straight...Kindle is now a gaming device?  Dont jump the shark Kindle...please dont!,N,let get straight kindl game devic dont jump shark kindl pleas dont,0,Negative
30,True Anders...although they are in it for the money:) Otherwise they wouldnt be in existence.,O,true ander although money otherwis wouldnt exist,0,Negative
31,Can we play these games on the kindle app on ipad?,O,play game kindl app ipad,1,Positive
32,"Mr. Meisch, its ok; calm down :-P. Yes, they have games but the ones that I have tried (I have about 5 on my Kindle along with 30 gazillion books) are either text based or just simple time killers. So far they are actually decent (well, what Ive tried is anyway. Ive heard of some awful ones).I have the one they are touting here and its... ok. Not my favorite (try Triple Town; its addictive) but this one is decent enough. The beginning is too easy by far, the middle is good and the end levels are killer.",P,mr meisch ok calm p ye game one tri kindl along gazillion book either text base simpl time killer far actual decent well ive tri anyway ive heard aw one one tout ok favorit tri tripl town addict one decent enough begin easi far middl good end level killer,1,Positive
33,Is that right? Only the original Kindle? What about the 2nd generation?,O,right origin kindl nd gener,1,Positive
34,"They have free games also: blackjack, poker and word games.",P,free game also blackjack poker word game,1,Positive
35,I love Every Word and Video Poker. For when your not reading.,P,love everi word video poker read,1,Positive
36,Are there any stand-alone interactive fiction (text adventure) games? I know there are some online ones but I dont have 3g and Id like to play away from wifi.,O,stand alon interact fiction text adventur game know onlin one dont g id like play away wifi,0,Negative
37,Kindle is a book... Stop making it into somthing its not...leave the games to other moble devices...,O,kindl book stop make somth leav game mobl devic,0,Negative
38,Has anyone developed any games for the 1st generation Kindle?  Im not going to get a new one just to play games...Even though I would like to have the option...,P,anyon develop game st gener kindl im go get new one play game even though would like option,0,Negative
39,"I play Triple Town its fun...if you dont want the games, dont get them!",O,play tripl town fun dont want game dont get,0,Negative
40,I have a few games on my kindle and I enjoy them.  I also enjoy the fact that while traveling I dont have to take multiple devices in order to stay busy while on an airplane or riding in a car.,P,game kindl enjoy also enjoy fact travel dont take multipl devic order stay busi airplan ride car,1,Positive
41,"If you dont like the games, dont buy them. I have a few games and its fun to be able to play a few games when I dont feel like reading. Not all of us have those fancy schmancy smart phones.",P,dont like game dont buy game fun abl play game dont feel like read us fanci schmanci smart phone,0,Negative
